X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-78.622925317,35.874504496,529022,c330e7f9-d92e-494e-ac86-5a7668506b52,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009234,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,6600 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/02/17 05:15:00+00,2020,2,17,0,Monday,35.874504496,-78.622925317,RPD,2020/02/17 22:02:04.983+00
-78.622925317,35.874504496,529023,842c43c3-9411-4d1e-b4d0-c6f8de560892,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009234,FRAUD,56B,Fraud/Credit Card-ATM Fraud,CRIMES AGAINST PROPERTY,6600 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/02/17 05:15:00+00,2020,2,17,0,Monday,35.874504496,-78.622925317,RPD,2020/02/17 22:02:04.983+00
-78.634200013,35.7781073940001,529035,aa32c9dd-318e-4a7c-906c-3fceec8a0f7e,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,P20009235,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,300 BLOCK E HARGETT ST,RALEIGH,RALEIGH,Downtown,2020/02/17 05:48:00+00,2020,2,17,0,Monday,35.7781073940001,-78.6342000129999,RPD,2020/02/17 16:38:21.820+00
-78.7310529709999,35.77866399,529050,b7d62068-8ef9-4bbb-80bf-725611b016e8,2020/02/18 19:27:34.446+00,RaleighGIS,2020/02/18 19:27:34.446+00,RaleighGIS,P20009236,WEAPONS VIOLATION,51C,Weapons/Shots Fired,CRIMES AGAINST SOCIETY,400 BLOCK BUCK JONES RD,RALEIGH,RALEIGH,Southwest,2020/02/17 05:38:00+00,2020,2,17,0,Monday,35.77866399,-78.7310529709999,RPD,2020/02/17 18:38:43.260+00
-78.6121064929999,35.781717429,529066,6827cfbb-0622-4335-9a43-3dfa14a2b1f2,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009252,STOLEN PROPERTY,52C,Stolen Property/Recover Stolen Property (no arrest),,200 BLOCK BERTIE DR,RALEIGH,RALEIGH,Southeast,2020/02/17 12:34:00+00,2020,2,17,7,Monday,35.781717429,-78.6121064929999,RPD,2020/02/17 20:37:42.683+00
-78.636174356,35.7853838470001,529081,5f7a354b-918e-42c4-a45b-3d1902ceadf4,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,P20009268,HUMANE,82J,Humane/Chemical Deployment,,400 BLOCK N BLOUNT ST,RALEIGH,RALEIGH,Downtown,2020/02/17 13:25:00+00,2020,2,17,8,Monday,35.785383847,-78.636174356,RPD,2020/02/17 15:07:38+00
-78.6246386279999,35.7764368740001,529082,b2710fb6-97c5-4247-9be0-e981076f37ea,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,P20009254,HUMANE,82G,Humane/All Other Humane,,900 BLOCK E MARTIN ST,RALEIGH,RALEIGH,Southeast,2020/02/17 12:33:00+00,2020,2,17,7,Monday,35.7764368740001,-78.624638628,RPD,2020/02/17 15:43:05.237+00
-78.693289697,35.784174523,529085,428c3209-06c8-4de2-b1e8-86fe69e20d54,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009287,VANDALISM,80B,All Other/Damage to Property (minor),,3900 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020/02/17 15:06:00+00,2020,2,17,10,Monday,35.784174523,-78.693289697,RPD,2020/02/17 20:37:52.049+00
-78.7095594199999,35.8532114980001,529101,fbee3d07-8ba9-4b0f-b1d9-ea7e1c764985,2020/02/18 20:05:41.238+00,RaleighGIS,2020/02/18 20:05:41.238+00,RaleighGIS,P20009284,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4100 BLOCK DEEP HOLLOW DR,RALEIGH,RALEIGH,Northwest,2020/02/17 15:17:00+00,2020,2,17,10,Monday,35.8532114980001,-78.7095594199999,RPD,2020/02/17 19:04:29.007+00
-78.704708007,35.8154748050001,529103,cb103126-e26e-4ee2-8156-fb35cc332414,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009319,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4400 BLOCK LAKE BOONE TRL,RALEIGH,RALEIGH,Northwest,2020/02/17 18:35:00+00,2020,2,17,13,Monday,35.8154748050001,-78.704708007,RPD,2020/02/17 19:21:36.337+00
